D:\Anaconda3\envs\bigcn\python.exe D:/liuqiang/MAGNN/run_LastFM.py
Using backend: pytorch
program start at  time.struct_time(tm_year=2020, tm_mon=11, tm_mday=30, tm_hour=16, tm_min=16, tm_sec=47, tm_wday=0, tm_yday=335, tm_isdst=0)
train iteration count of each epoch :8123 ,val iteration count of each epoch: 1161
D:\Anaconda3\envs\bigcn\lib\site-packages\dgl\base.py:45: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  return warnings.warn(message, category=category, stacklevel=1)
D:\Anaconda3\envs\bigcn\lib\site-packages\dgl\base.py:45: DGLWarning: Keyword arguments ['multigraph'] are deprecated in v0.5, and can be safely removed in all cases.
  return warnings.warn(message, category=category, stacklevel=1)
Epoch 00000 | Iteration 04000 | Train_Loss 0.3221 | Time1(s) 0.9793 | Time2(s) 0.0587 | Time3(s) 0.0873
Epoch 00000 | Iteration 04100 | Train_Loss 0.3847 | Time1(s) 0.9778 | Time2(s) 0.0586 | Time3(s) 0.0870
Epoch 00000 | Iteration 04200 | Train_Loss 0.0091 | Time1(s) 0.9764 | Time2(s) 0.0585 | Time3(s) 0.0865
Epoch 00000 | Iteration 04300 | Train_Loss 0.1385 | Time1(s) 0.9744 | Time2(s) 0.0584 | Time3(s) 0.0860
Epoch 00000 | Iteration 04400 | Train_Loss 11.1554 | Time1(s) 0.9732 | Time2(s) 0.0583 | Time3(s) 0.0856
Epoch 00000 | Iteration 04500 | Train_Loss 1.5863 | Time1(s) 0.9713 | Time2(s) 0.0581 | Time3(s) 0.0852
Epoch 00000 | Iteration 04600 | Train_Loss 0.0018 | Time1(s) 0.9699 | Time2(s) 0.0580 | Time3(s) 0.0848
Epoch 00000 | Iteration 04700 | Train_Loss 0.0016 | Time1(s) 0.9683 | Time2(s) 0.0580 | Time3(s) 0.0844
Epoch 00000 | Iteration 04800 | Train_Loss 0.0400 | Time1(s) 0.9668 | Time2(s) 0.0579 | Time3(s) 0.0841
Epoch 00000 | Iteration 04900 | Train_Loss 0.0494 | Time1(s) 0.9654 | Time2(s) 0.0578 | Time3(s) 0.0837
Epoch 00000 | Iteration 05000 | Train_Loss 0.0309 | Time1(s) 0.9639 | Time2(s) 0.0577 | Time3(s) 0.0834
Epoch 00000 | Iteration 05100 | Train_Loss 0.0333 | Time1(s) 0.9625 | Time2(s) 0.0576 | Time3(s) 0.0831
Epoch 00000 | Iteration 05200 | Train_Loss 0.3030 | Time1(s) 0.9615 | Time2(s) 0.0575 | Time3(s) 0.0828
Epoch 00000 | Iteration 05300 | Train_Loss 0.5472 | Time1(s) 0.9608 | Time2(s) 0.0575 | Time3(s) 0.0825
Epoch 00000 | Iteration 05400 | Train_Loss 0.1308 | Time1(s) 0.9597 | Time2(s) 0.0574 | Time3(s) 0.0822
Epoch 00000 | Iteration 05500 | Train_Loss 0.0125 | Time1(s) 0.9592 | Time2(s) 0.0573 | Time3(s) 0.0819
Epoch 00000 | Iteration 05600 | Train_Loss 0.1359 | Time1(s) 0.9585 | Time2(s) 0.0572 | Time3(s) 0.0817
Epoch 00000 | Iteration 05700 | Train_Loss 2.2058 | Time1(s) 0.9573 | Time2(s) 0.0572 | Time3(s) 0.0814
Epoch 00000 | Iteration 05800 | Train_Loss 0.0054 | Time1(s) 0.9566 | Time2(s) 0.0571 | Time3(s) 0.0812
Epoch 00000 | Iteration 05900 | Train_Loss 0.1270 | Time1(s) 0.9557 | Time2(s) 0.0570 | Time3(s) 0.0809
Epoch 00000 | Iteration 06000 | Train_Loss 0.0515 | Time1(s) 0.9546 | Time2(s) 0.0570 | Time3(s) 0.0807
Epoch 00000 | Iteration 06100 | Train_Loss 2.2173 | Time1(s) 0.9537 | Time2(s) 0.0569 | Time3(s) 0.0804
Epoch 00000 | Iteration 06200 | Train_Loss 0.2525 | Time1(s) 0.9532 | Time2(s) 0.0569 | Time3(s) 0.0802
Epoch 00000 | Iteration 06300 | Train_Loss 0.0177 | Time1(s) 0.9527 | Time2(s) 0.0568 | Time3(s) 0.0800
Epoch 00000 | Iteration 06400 | Train_Loss 0.1795 | Time1(s) 0.9516 | Time2(s) 0.0568 | Time3(s) 0.0798
Epoch 00000 | Iteration 06500 | Train_Loss 1.8587 | Time1(s) 0.9510 | Time2(s) 0.0567 | Time3(s) 0.0796
